*sheet 1
60-3980 27 4.5
57-7024 3 49.03
37-7079 1 31.19
37-1040 1 41.76
37-1376 1 37.89
60-3439 72 138.24
60-7463 3 31.32
83-4867 3 27.0
83-4808 2 27.0
83-7067 4 36.0
83-7068 4 36.0
82-4451 171 0.76
97-4001 291 1.45
70-9488 2 29.0
*sheet 2
14-1401 19 0.32
19-3139 17 0.70
57-0946 2 2.02
57-1931 4 1.04
57-1039 7 10.20
57-1040 8 0.44
57-1041 2 4.20
57-1046 26 0.28
57-1047 12 1.14
57-1157 3 2.60
57-1161 7 0.38
57-1169 18 1.21
57-1250 7 0.51
57-1282 3 2.12
57-1362 8 4.70
57-1363 29 1.94
57-4356 8 0.93
57-4653 1 23.66
60-3500 14 1.32
60-3570 1 1.0
60-3719 1 5.98
60-4255 3 0.20
60-4253 4 1.40
71-3748 10 0.28
*sheet 3
21-0620 1 3.63
21-7006 1 1.15
37-0932 1 5.14
39-0008 18 0.20
39-0009 18 0.20
39-0028 38 0.18
57-4782 2 12.84
57-7018 1 30.0
57-7083 1 16.04
70-1543 4 1.76
70-2904 3 -1.0
71-1283 4 0.56
70-4144 3 0.22
71-3294 3 4.52
70-4568 6 1.18
70-4610 4 1.94
70-4578 3 1.50
70-4746 10 0.40
71-6890 1 18.40
70-7310 16 0.38
70-9914 8 3.40
70-9516 2 5.26
70-9703 1 3.60
70-9843 2 0.26
*sheet 4
70-7136 1 3.0
70-7137 1 3.0
70-7400 11 0.81
70-7431 28 0.38
70-7512 8 1.11
70-7573 6 0.22
70-7576 1 11.34
70-7578 1 9.0
70-7590 1 6.9
70-7641 4 1.6
70-7642 2 1.6
70-7680 3 1.98
70-8038 13 0.17
70-8732 29 0.11
70-8738 4 0.12
70-8754 30 0.52
70-8768 30 0.60
70-8782 4 2.16
70-8860 15 0.20
70-9330 2 0.49
70-9332 4 3.85
70-9348 16 0.78
70-9349 1 8.78
70-9353 1 10.46
70-9360 3 1.46
70-9492 7 0.71
70-9494 2 7.56
70-9510 6 4.78
70-9511 16 0.84
70-9525 2 59.40
70-9550 1 7.50
*sheet 5
70-9551 1 7.50
70-9554 90 0.22
70-9555 11 0.28
70-9984 15 24.0
70-9988 3 0.40
71-0007 6 0.05
71-0044 3 30.0
71-0046 7 29.50
71-0070 27 0.39
71-0082 1 1.11
71-0229 16 1.63
71-1003 31 0.14
71-1007 12 3.08
71-1051 8 7.04
71-1063 1 34.0
71-1064 4 34.0
71-1070 1 0.2
71-1345 5 0.24
71-1419 3 0.29
71-1446 20 0.72
71-1447 76 0.40
